"loss_code","year","annual_loss_ha","cumulative_loss_ha","remaining_forest_ha"
1,2001,12725.2924000621,12725.2924000621,2182333.01400403
2,2002,10213.4419428706,22938.7343429327,2172119.57206116
3,2003,7335.15654335171,30273.8908862844,2164784.41551781
4,2004,15896.6912575588,46170.5821438432,2148887.72426025
5,2005,13816.5366145447,59987.1187583879,2135071.1876457
6,2006,19179.2299773097,79166.3487356976,2115891.95766839
7,2007,19565.3844585419,98731.7331942394,2096326.57320985
8,2008,7700.80576670915,106432.538960949,2088625.76744314
9,2009,23866.2613140866,130298.800275035,2064759.50612906
10,2010,12392.741438441,142691.541713476,2052366.76469062
11,2011,26052.1088123471,168743.650525823,2026314.65587827
12,2012,42653.319831565,211396.970357388,1983661.3360467
13,2013,19118.2857136205,230515.256071009,1964543.05033308
14,2014,32150.8892913386,262666.145362347,1932392.16104174
15,2015,27192.2967583463,289858.442120694,1905199.8642834
16,2016,32617.1947321221,322475.636852816,1872582.66955128
17,2017,29934.7722913101,352410.409144126,1842647.89725997
18,2018,30871.8680696711,383282.277213797,1811776.02919029
19,2019,26170.6476759985,409452.924889795,1785605.3815143
20,2020,14693.8438977674,424146.768787563,1770911.53761653
21,2021,13465.3328732774,437612.10166084,1757446.20474325
22,2022,13338.7083874717,450950.810048312,1744107.49635578
23,2023,23328.818720758,474279.62876907,1720778.67763502
24,2024,20864.8431053534,495144.471874423,1699913.83452967
